104.35.128.230 - - [28/Jan/2022:17:26:13 +0000] "GET /jenkins/static/76245146/scripts/hudson-behavior.js HTTP/1.1" 200 25630
104.35.128.230 - - [28/Jan/2022:17:26:13 +0000] "GET /jenkins/static/76245146/jsbundles/pluginSetupWizard.js HTTP/1.1" 200 21284
104.35.128.230 - - [28/Jan/2022:17:26:13 +0000] "GET /jenkins/static/76245146/jsbundles/vendors.js HTTP/1.1" 200 52644
104.35.128.230 - - [28/Jan/2022:17:26:13 +0000] "GET /jenkins/static/76245146/jsbundles/fonts/icomoon.ttf HTTP/1.1" 200 51116
104.35.128.230 - - [28/Jan/2022:17:28:05 +0000] "POST /jenkins/j_spring_security_check HTTP/1.1" 302 -
104.35.128.230 - - [28/Jan/2022:17:28:05 +0000] "GET /jenkins/ HTTP/1.1" 200 1097
104.35.128.230 - - [28/Jan/2022:17:28:05 +0000] "GET /jenkins/i18n/resourceBundle?baseName=jenkins.install.pluginSetupWizard&_=1643390884859 HTTP/1.1" 200 6635
104.35.128.230 - - [28/Jan/2022:17:28:05 +0000] "GET /jenkins/static/76245146/favicon.ico HTTP/1.1" 200 17542
104.35.128.230 - - [28/Jan/2022:17:28:05 +0000] "GET /jenkins/updateCenter/connectionStatus?siteId=default&_=1643390884860 HTTP/1.1" 200 70
104.35.128.230 - - [28/Jan/2022:17:28:06 +0000] "GET /jenkins/updateCenter/connectionStatus?siteId=default&_=1643390884861 HTTP/1.1" 200 64
104.35.128.230 - - [28/Jan/2022:17:28:06 +0000] "GET /jenkins/updateCenter/connectionStatus?siteId=default&_=1643390884862 HTTP/1.1" 200 58
104.35.128.230 - - [28/Jan/2022:17:28:06 +0000] "GET /jenkins/setupWizard/platformPluginList?_=1643390884863 HTTP/1.1" 200 2345
104.35.128.230 - - [28/Jan/2022:17:28:06 +0000] "GET /jenkins/updateCenter/installStatus?_=1643390884864 HTTP/1.1" 200 48
104.35.128.230 - - [28/Jan/2022:17:28:06 +0000] "GET /jenkins/updateCenter/incompleteInstallStatus?_=1643390884865 HTTP/1.1" 200 25
104.35.128.230 - - [28/Jan/2022:17:28:06 +0000] "GET /jenkins/updateCenter/installStatus?_=1643390884866 HTTP/1.1" 200 48
104.35.128.230 - - [28/Jan/2022:17:28:23 +0000] "GET /jenkins/pluginManager/plugins?_=1643390884867 HTTP/1.1" 200 810864
104.35.128.230 - - [28/Jan/2022:17:28:23 +0000] "POST /jenkins/pluginManager/installPlugins HTTP/1.1" 200 79
104.35.128.230 - - [28/Jan/2022:17:28:23 +0000] "GET /jenkins/updateCenter/installStatus?_=1643390884868 HTTP/1.1" 200 12336
104.35.128.230 - - [28/Jan/2022:17:28:23 +0000] "GET /jenkins/updateCenter/installStatus?_=1643390884869 HTTP/1.1" 200 12336
104.35.128.230 - - [28/Jan/2022:17:28:23 +0000] "GET /jenkins/static/76245146/jsbundles/fonts/fontawesome-webfont.woff2 HTTP/1.1" 200 71760
104.35.128.230 - - [28/Jan/2022:17:28:24 +0000] "GET /jenkins/updateCenter/installStatus?_=1643390884870 HTTP/1.1" 200 12336
